2026-03-01 22:30:48,756 INFO    MainThread:783745 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-01 22:30:48,757 INFO    MainThread:783745 [wandb_setup.py:_flush():81] Configure stats pid to 783745
2026-03-01 22:30:48,757 INFO    MainThread:783745 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-01 22:30:48,757 INFO    MainThread:783745 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/ephrem.yekun/TALC-4/wandb/run-20260301_223048-xkc0gaab/logs/debug.log
2026-03-01 22:30:48,757 INFO    MainThread:783745 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/ephrem.yekun/TALC-4/wandb/run-20260301_223048-xkc0gaab/logs/debug-internal.log
2026-03-01 22:30:48,757 INFO    MainThread:783745 [wandb_init.py:init():844] calling init triggers
2026-03-01 22:30:48,757 INFO    MainThread:783745 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'architecture': 'EfficientNetV2-M', 'batch_size': 32, 'label_smoothing': 0.1, 'early_stopping_patience': 5, 'progressive_stages': 4, '_wandb': {}}
2026-03-01 22:30:48,757 INFO    MainThread:783745 [wandb_init.py:init():892] starting backend
2026-03-01 22:30:50,070 INFO    MainThread:783745 [wandb_init.py:init():895] sending inform_init request
2026-03-01 22:30:50,097 INFO    MainThread:783745 [wandb_init.py:init():903] backend started and connected
2026-03-01 22:30:50,205 INFO    MainThread:783745 [wandb_init.py:init():973] updated telemetry
2026-03-01 22:30:50,212 INFO    MainThread:783745 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-01 22:30:50,900 INFO    MainThread:783745 [wandb_init.py:init():1042] starting run threads in backend
2026-03-01 22:30:51,305 INFO    MainThread:783745 [wandb_run.py:_console_start():2524] atexit reg
2026-03-01 22:30:51,305 INFO    MainThread:783745 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-01 22:30:51,305 INFO    MainThread:783745 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-01 22:30:51,305 INFO    MainThread:783745 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-01 22:30:51,320 INFO    MainThread:783745 [wandb_init.py:init():1082] run started, returning control to user process
